nome do produto;descrição do produto;composição;tamanhos;fotos
 Blusa Infantil Menina Canelada Off White Momi  ; Essa Blusa Infantil Off White é confeccionada em malha canelada com elastano, conta com modelagem justinha, manga longa e decote redondo. Seu visual básico ganha o destaque da etiqueta decorativa aplicada acima da barra, que finalizada com muita exclusividade. Ref.: J3377 ; 49% Poliéster, 47% Algodão, 4% Elastano ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/5574/blusa-infantil-menina-canelada-off-white-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/5576/blusa-infantil-menina-canelada-off-white-momi-gola.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/5575/blusa-infantil-menina-canelada-off-white-momi-etiqueta.jpg']
 Blusa Infantil Menina de Manga Bufante Off White  ; A Blusa de Manga Bufante Momi é confeccionada com todo o conforto do Cotton, possui manga longa com elástico no punho, decote redondo e modelagem Comfy. Destaque especial para a estampa frontal em Lettering e a etiqueta decorativa na barra. Ref.: J3461 ; 96% Cotton, 4% Elastano ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/04/produto/5668/blusa-infantil-menina-de-manga-bufante-off-white-still.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/04/produto/5664/blusa-infantil-menina-de-manga-bufante-off-white.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/04/produto/5666/blusa-infantil-menina-de-manga-bufante-off-white-gola.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/04/produto/5665/blusa-infantil-menina-de-manga-bufante-off-white-etiqueta.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/04/produto/5667/blusa-infantil-menina-de-manga-bufante-off-white-look.jpg']
 Blusa Looney Tunes Branca Infantil Feminina Momi  ; A Blusa Looney Tunes Infantil Branca faz parte da nossa Collab com a Warner Bros. O modelo é confeccionado em Cotton, conta com modelagem Slim, manga longa e decote redondo. Seu destaque fica por conta da estampa frontal dos personagens mais queridinhos do momento: O Piu Piu e o Frajola. Ref.: F9456. ; 96% Cotton, 4% Elastano ;['2', '4', '6', '8', '10', '12', '14'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4905/blusa-looney-tunes-branca-infantil-feminina-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4909/blusa-looney-tunes-branca-infantil-feminina-momi-still.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4906/blusa-looney-tunes-branca-infantil-feminina-momi-gola.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4908/blusa-looney-tunes-branca-infantil-feminina-momi-manga.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4907/blusa-looney-tunes-branca-infantil-feminina-momi-look.jpg']
 Camisa Social Branca Infantil Feminina Frajola Momi  ; Esta Camisa Social Branca Infantil Feminina Momi faz parte da nossa Collab com a Warner Bros e trouxe uma estampa super cool do Frajola na altura do peito e também da palavra Looney Tunes no colarinho. O modelo é desenvolvido em tecido leve e macio de tricoline, conta com manga longa, modelagem Slim, bolso frontal e fechamento através de botões. Ref.: H2812. ; 65% Cotton, 32% Poliamida, 3% Elastano ;['2', '4', '6', '8', '10', '12', '14'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4935/camisa-social-branca-infantil-feminina-frajola-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4938/camisa-social-branca-infantil-feminina-frajola-momi-look.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4937/camisa-social-branca-infantil-feminina-frajola-momi-gola.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4936/camisa-social-branca-infantil-feminina-frajola-momi-bolso.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4939/camisa-social-branca-infantil-feminina-frajola-momi-still.jpg']
 Blusa de Manga Longa Branca Infantil Feminina Blogger Momi  ; A Blusa de Manga Longa Branca Infantil Momi Blogger é feita em Cotton de algodão com elastano, traz uma modelagem ampla, manga longa e decote redondo em ribana. Destaque especial para as estampas em Lettering, corações e listras nas mangas, que deixou a peça bem cool. Ref.: F9330. ; 96% Algodão, 4% Elastano ;['4', '6', '8', '10', '12', '14', '16'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4941/blusa-de-manga-longa-branca-infantil-feminina-blogger-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4945/blusa-de-manga-longa-branca-infantil-feminina-blogger-momi-still.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4944/blusa-de-manga-longa-branca-infantil-feminina-blogger-momi-manga.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4942/blusa-de-manga-longa-branca-infantil-feminina-blogger-momi-gola.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4943/blusa-de-manga-longa-branca-infantil-feminina-blogger-momi-look.jpg']
 Blusa Looney Tunes Infantil Feminina Manga de Telinha Momi  ; A Blusa Infantil Looney Tunes Momi faz parte da nossa Collab com a Warner Bros e trouxa uma estampa bem cool do Piu Piu, Frajola e Pernalonga com aplicação de Strass e manga dupla feita em tela furadinha rosa. O modelo é confeccionado com todo o conforto do Cotton, modelagem Slim e decote redondo em friso. Ref.: F9992. ; 96% Algodão, 4% Elastano ;['2', '4', '6', '8', '10', '12', '14'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4839/blusa-looney-tunes-infantil-feminina-manga-de-telinha-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4841/blusa-looney-tunes-infantil-feminina-manga-de-telinha-momi-estampa.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4842/blusa-looney-tunes-infantil-feminina-manga-de-telinha-momi-manga.jpg']
 Blusa Canelada Infantil Menina Off White Estampa Panda Momi  ; Essa Blusa Infantil Off White é confeccionada com todo o conforto da malha canelada, traz uma modelagem justinha, manga longa e decote redondo. Destaque especial para a estampa super fofinha de Pandinha, que vai acompanhar o dia a dia das Momi Girls com muita diversão. Ref.: J3352. ; 49% Poliéster, 47% Cotton, 4% Elastano ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4954/blusa-canelada-infantil-menina-off-white-estampa-panda-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4955/blusa-canelada-infantil-menina-off-white-estampa-panda-momi-gola.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4956/blusa-canelada-infantil-menina-off-white-estampa-panda-momi-manga.jpg']
 Blusa Branca Infantil Feminina Manga Bufante Yes Momi  ; A Blusa Infantil Branca de Manga Bufante é feita com todo o conforto do Cotton com elastano, conta com manga longa, modelagem Slim, decote redondo em ribana e uma moderna estampa frontal em Lettering com uma etiqueta decorativa plástica transparente sobreposta. Ref.: F9415. ; 96% Cotton, 4% Elastano ;['4', '6', '8', '10', '12', '14', '16'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4899/blusa-branca-infantil-feminina-manga-bufante-yes-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4901/blusa-branca-infantil-feminina-manga-bufante-yes-momi-look.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4903/blusa-branca-infantil-feminina-manga-bufante-yes-momi-manga.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4900/blusa-branca-infantil-feminina-manga-bufante-yes-momi-estampa.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/03/produto/4902/blusa-branca-infantil-feminina-manga-bufante-yes-momi-look-completo.jpg']
 Blusa Canelada Infantil Feminina Rosa Manga Longa Momi  ; Essa Blusa Infantil Canelada Rosa é confeccionada em malha de 49% Poliéster, 47% Algodão e 4% Elastano, conta com modelagem justinha, manga longa e decote redondo. Seu visual básico ganha o destaque da etiqueta decorativa aplicada acima da barra, que finalizada com muita exclusividade. Ref.: J3457. ; 49% Poliéster, 47% Algodão, 4% Elastano ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4100/blusa-infantil-feminina-rosa-de-manga-longa-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4102/blusa-infantil-feminina-rosa-de-manga-longa-momi-look.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4101/blusa-infantil-feminina-rosa-de-manga-longa-momi-gola.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4103/blusa-infantil-feminina-rosa-de-manga-longa-momi-manga.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4104/blusa-infantil-feminina-rosa-de-manga-longa-momi-still.jpg']
 Blusa Canelada Infantil Feminina Rosa Momi  ; Essa Blusa Infantil Canelada Rosa é confeccionada em malha de 49% Poliéster, 47% Algodão e 4% Elastano, conta com modelagem justinha, manga longa e decote redondo. Seu visual básico ganha o destaque da etiqueta decorativa aplicada acima da barra, que finalizada com muita exclusividade. Ref.: F9429. ; 49% Poliéster, 47% Algodão, 4% Elastano ;['4', '6', '8', '10', '12', '14'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4033/blusa-infantil-malha-canelada-rosa-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4100/blusa-infantil-feminina-rosa-de-manga-longa-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4035/blusa-infantil-malha-canelada-rosa-momi-gola.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4034/blusa-infantil-malha-canelada-rosa-momi-etiqueta.jpg']
 Camisa Infantil Menina Jeans Manga Longa Momi  ; Essa Camisa Jeans Infantil Feminina é uma peça indispensável no armário das meninas Fashion e modernas. Repaginada, essa camisa jeans surge na presença de mangas bufantes, fechamento frontal com botões dourados, detalhes em recorte, punho elástico e uma etiqueta decorativa Momi super fofa. O tecido Jeans é feito em 85% Cotton e 15% Poliéster, trazendo muito conforto, leveza e liberdade nos movimentos. Ref.: J3714 ; 85% Cotton, 15% Poliéster ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4155/camisa-infantil-menina-jeans-manga-bufante-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4157/camisa-infantil-menina-jeans-manga-bufante-momi-gola-longa.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4156/camisa-infantil-menina-jeans-manga-bufante-momi-gola.jpg']
 Blusa Infantil Feminina Gola Alta Marinho Girls Fashion  ; A Blusa Infantil Feminina de Gola Alta Marinho é confeccionada em tecido canelado, que promove muito conforto e liberdade nos movimentos. Seu visual clean conta com modelagem justinha, gola alta com estampa em Lettering, manga longa e a aplicação de uma etiqueta decorativa Momi, que finaliza com exclusividade. Ref.: J3646. ; 49% Poliéster, 47% Cotton, 4% Elastano ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4144/blusa-infantil-feminina-gola-alta-marinho-girls-fashion.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4147/blusa-infantil-feminina-gola-alta-marinho-girls-fashion-look.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4145/blusa-infantil-feminina-gola-alta-marinho-girls-fashion-decote.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4146/blusa-infantil-feminina-gola-alta-marinho-girls-fashion-etiqueta.jpg']
 Blusa Infantil Menina Estampa Dog Branca Momi  ; A Blusa Infantil Feminina de Doguinho é confeccionada em Cotton de 96% Agodão e 4% Elastano, conta com modelagem Slim, manga curta e decote redondo em Ribana. Seu destaque especial fica por conta da estampa frontal de Doguinho com aplicação de Strass em formato de estrelinha, super fofa! Ref.: J3474. ; 96% Algodão, 4% Elastano ;['1', '2', '3', '4', '6', '8'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4117/blusa-infantil-menina-estampa-dog-branca-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4120/blusa-infantil-menina-estampa-dog-branca-momi-look.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4118/blusa-infantil-menina-estampa-dog-branca-momi-gola.jpg']
 Blusa Infantil Feminina Preta Manga Longa Momi  ; Blusa Infantil Momi confeccionadda em Cotton. A blusa possui manga longa, frente com estampa e aplicação de Patch cartinha sobreposto na estampa. Ref.: J2480. ; 96% Algodão, 4% Elastano ;['1', '2', '3', '4', '6'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4217/blusa-infantil-feminina-preta-manga-longa-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4219/blusa-infantil-feminina-preta-manga-longa-momi-look.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4218/blusa-infantil-feminina-preta-manga-longa-momi-decote.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4220/blusa-infantil-feminina-preta-manga-longa-momi-manga.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4221/blusa-infantil-feminina-preta-manga-longa-momi-still.jpg']
 Blusa Infantil Menina Preta Manga Curta Momi  ;" Blusa Infantil Momi confeccionadda em Cotton. A blusa possui manga curta, frente com estampa e aplicação de Patch cartinha sobreposto. Costas com abertura em botão funcional.
Composição: 96% Algodão 4% Elastano "; 96% Algodão, 4% Elastano ;['1', '2', '3', '4', '6'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4222/blusa-infantil-menina-preta-manga-curta-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4224/blusa-infantil-menina-preta-manga-curta-momi-costas.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4223/blusa-infantil-menina-preta-manga-curta-momi-abertura.jpg']
 Blusa Infantil Feminina Azul Manga Longa Momi  ; A Blusa infantil Feminina Marinho Momi é confeccionada com todo o conforto do Cotton, conta com manga longa, decote redondo e frente com estampa de Lettering com aplicação de Strass. Ref.: F8753. ; 96% Algodão 4% Elastano ;['4', '6', '8', '10', '12', '14'];['https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4432/blusa-infantil-feminina-azul-manga-longa-momi.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4433/blusa-infantil-feminina-azul-manga-longa-momi-estampa.jpg', 'https://texcotton.s3-sa-east-1.amazonaws.com/img/2021/02/produto/4434/blusa-infantil-feminina-azul-manga-longa-momi-look.jpg']
